900946622028275712,We running the KLUB ! #PlayMakerz @ Foxxy's Bikini Sports Bar and Grill https://t.co/ZRnsg0pnbC,Fri Aug 25 00:03:08 CDT 2017,"29.65747,-95.46435",TyBeezy11,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",42,Westbury
900946628663590912,Can you recommend anyone for this #job? Oilfield Market Analyst - https://t.co/B1zxr7IMq7 #Kraton #polymers #chemicaljobs #BusinessMgmt,Fri Aug 25 00:03:09 CDT 2017,"29.7604267,-95.3698028",KratonCareers,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",-1,null
900946977990430721,SALUTATIONS PEEPS 👋🏽  This post is SUPER delayed. AND we'd like to notify everyone that tomorrow… https://t.co/7YPm7FnhXh,Fri Aug 25 00:04:32 CDT 2017,"29.79035846,-95.40932894",GUUDBELLYY,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",30,Downtown
900948119864475650,#Repost @launchhtx The Diverscity Trunk Show has been rescheduled to next weekend (Labor Day… https://t.co/x3rbstsAlR,Fri Aug 25 00:09:05 CDT 2017,"29.75487723,-95.35688639",DiverscityCC,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",-1,null
900948125346549760,"Astros squander rally in 9th, fall to Nationals in 11 innings https://t.co/O1GfjvTibL https://t.co/s3b7cVlqPE",Fri Aug 25 00:09:06 CDT 2017,"29.7285434,-95.457392",JohnnyNewsroom,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",37,Greater Heights
900948133550596097,Don't forget J FIX SHADES TOO!! J SHADES FIX YOUR SHADES✨💕IF PURCHASED FROM #JSHADES ITS FOR… https://t.co/STB8yBq8nA,Fri Aug 25 00:09:08 CDT 2017,"29.732525,-95.48002996",J_shadesyou,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",-1,null
900948156841467907,Soccer before the Storm what are you doing on your Hurricane #Harvey… https://t.co/ldvSTWuTtO,Fri Aug 25 00:09:14 CDT 2017,"29.72418314,-95.61990397",El_Colombiano24,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",30,Downtown
900948178303762437,Bocaditos @ Tacos Tec Houston Texas https://t.co/qIdPGooO5q,Fri Aug 25 00:09:19 CDT 2017,"29.67309,-95.26411",Dannyboy1112,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",-1,null
900948209320681472,Don't forget J FIX SHADES TOO!! J SHADES FIX YOUR SHADES✨💕IF PURCHASED FROM #JSHADES ITS FOR… https://t.co/66VgxrgrLv,Fri Aug 25 00:09:26 CDT 2017,"29.732525,-95.48002996",J_shadesyou,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",21,Greenway / Upper Kirby Area
900948300349571072,Don't forget J FIX SHADES TOO!! J SHADES FIX YOUR SHADES✨💕IF PURCHASED FROM #JSHADES ITS FOR… https://t.co/m97Hq00DtT,Fri Aug 25 00:09:48 CDT 2017,"29.732525,-95.48002996",J_shadesyou,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",-1,null
