modeane,AYE!  Ran across my baby again. 🤗.                         WBB #21… https://t.co/35NR7ubbp5,1,Fourth Ward,0830,00,,0
USGS_TexasFlood,"#USGS08068325 - Willow Ck nr Tomball, TX Height: 129.06ft ▼ (127.9ft) Flow: 2560cfs https://t.co/z8l29EGuJ1",5,Eldridge / West Oaks,0830,00,,0
JohnnyNewsroom,Astros third baseman J.D. Davis makes impressive appearance on mound https://t.co/boAJilp1JK https://t.co/22jrNsgnGn,1,Fourth Ward,0830,00,,0
uosrabbi,"Heard a few times tdy.Wrkd all day sore, exhausted.Emotional toll continues.I look at amount of wrk Ieft-it's like I didnt get anything done",1,Fourth Ward,0830,00,,0
ameliaison,😌😆💁🏽🙏🏾💜👏🏾🙌🏾✊️👊💪👁✨🌀🔥🔥🔥🛶⛵️🚤 #YYYAAASSS YA'LL!!! LOOK AT #GOD!!!👀 WON'T GOD DO IT!!! #UROCK… https://t.co/90IiejlQRB,21,Greenway / Upper Kirby Area,0830,00,,0
IAmDjKc913,GlobalGiving's Hurricane Harvey Relief Fund globalgiving. Texas hang… https://t.co/IbfZGycD5n,1,Fourth Ward,0830,00,relief fund,2
heightslife,Medical professionals gathered around to find solutions for some of the most vulnerable… https://t.co/Q2ZJz3X16r,45,Willow Meadows / Willowbend Area,0830,00,,0
StanChartJobs,"Join the Standard Chartered Bank team! See our latest #job opening here: https://t.co/DtHLlBcCSP #Finance #Banking #Houston, TX #Hiring",1,Fourth Ward,0830,00,,0
SWHTown30,He will be lucky to make the roster come Oct 31st... Never has anyone came back the same from a torn achilles!!! https://t.co/YlBQbov8Vh,30,Downtown,0830,00,,0
Rodri180,"NRG needs volunteers tomorrow at 10 AM. They're expecting 10,000… https://t.co/3Pfmx60VQG",1,Fourth Ward,0830,00,need volunteer,2
DjRed_ScrewedUp,"#Repost bigtho ・・・ Shelter @ Houston, Texas https://t.co/R0tlGTF9HX",1,Fourth Ward,0830,00,shelter,1
El_Colombiano24,ATTENTION‼️ Local Artist and Dj looking to perform and support at… https://t.co/N4FEQd47WB,30,Downtown,0830,00,support,1
Mr_Inkaholik,Tomorrow we will be organizing a charity and donation drive at the studio. Details will be… https://t.co/N6wntsqf7Z,1,Fourth Ward,0830,00,donation,1
USGS_TexasFlood,"#USGS08068780 - Little Cypress Ck nr Cypress, TX Height: 157.59ft ▼ (156.5ft) Flow: 1600cfs https://t.co/Hhc2aKaVyV",1,Fourth Ward,0830,00,,0
SEFLCareers,"Want to work in #Houston, TX? View our latest opening: https://t.co/4hrKEgzUhf #leadership #Job #Jobs #Hiring",30,Downtown,0830,00,,0
jacobjudemiller,"It's devastating to see all the flooding in Huston, I send my prayers out to everyone effected… https://t.co/MuySZdi3Lt",1,Fourth Ward,0830,00,,0
CRITICAL5656,Just posted a photo @ Kia's Venue & Events https://t.co/gZY16BrpW4,75,Astrodome Area,0830,00,,0
CRITICAL5656,#KINGBRAY_247365 @ Kia's Venue & Events https://t.co/L0woTtP9qW,1,Fourth Ward,0830,00,,0
CRITICAL5656,Just posted a photo @ Blue Steel Lounge https://t.co/fh2XsM4vAl,1,Fourth Ward,0830,00,,0
CRITICAL5656,Just posted a photo @ Blue Steel Lounge https://t.co/dW9sa8LJJX,57,East Little York / Homestead,0830,00,,0
CRITICAL5656,Just posted a photo @ Blue Steel Lounge https://t.co/UbBf6X7Itz,20,Museum Park,0830,00,,0
jonpera,Look at all these amazing people driving to #houston with their boats to help rescue the… https://t.co/ypm6b6fuuT,1,Fourth Ward,0830,00,help people rescue boat,4
bassplayerPres,"Just posted a photo @ Houston, Texas https://t.co/9jBy8TiJRp",86,Afton Oaks / River Oaks Area,0830,00,,0
anjailsforte,"Pray For Houston 🙏🏽 @ Houston, Texas https://t.co/qvdf62CWpg",5,Eldridge / West Oaks,0830,00,,0
Moooseum,"If you're available on Wednesday, come join the team members of @Moooseum and… https://t.co/Y9GIWGbiR3",4,Greater Hobby Area,0830,00,,0
Frances_Fisher,.@shelterboxusa is already on the Ground delivering #ShelterBox supplies to survivors of… https://t.co/z1yjclL8Ro,1,Fourth Ward,0830,00,supply,1
TotalTrafficHOU,Closed due to flooding. in #Harris on I-10 Katy Fwy Freeway Frontage Rd Inbound at Hwy 6 #traffic https://t.co/vuUN2yElDh,1,Fourth Ward,0830,00,,0
FLAMGearCo,I look forward to hittin' some skinnz soon. Houston need some live music to take our minds off… https://t.co/r0lKQdJhlo,75,Astrodome Area,0830,00,need,1
DjRed_ScrewedUp,#Repost justyaboyreece ・・・ #Repost thetxplug (get_repost) ・・・ #Repost fiyamediamogul ・・・ Via… https://t.co/jeX3cVJZ2f,1,Fourth Ward,0830,00,,0
TxFirewalkers,#OBRHarvey2017 from the bed side @ Downtown Houston https://t.co/yw4YxAMd9b,1,Fourth Ward,0830,01,,0
DjRed_ScrewedUp,"#Repost @MrSockGame ・・・ @ Houston, Texas https://t.co/lH4sNkOocj",57,East Little York / Homestead,0830,01,,0
USGS_TexasFlood,"#USGS08068780 - Little Cypress Ck nr Cypress, TX Height: 157.5ft ▼ (156.5ft) Flow: 1560cfs https://t.co/of32WWeHNG",57,East Little York / Homestead,0830,01,,0
ajtrinkle,The sun ☀️ peeked its head out over Houston this evening!! Sooo… https://t.co/rw3BEZ297F,57,East Little York / Homestead,0830,01,,0
BetitoJavie,"I love my city!!  #Houston #Houstonian #ProudToBeHoUStonian #Texan #Texas @ Houston, Texas https://t.co/43BC3qVS8p",57,East Little York / Homestead,0830,01,,0
SWHTown30,Who would've thought unrighteous people would be racist??? #God will take care of them😉 https://t.co/NSnyE9XtSC,57,East Little York / Homestead,0830,01,people,1
keinosha__,Just posted a photo @ Midtown Houston https://t.co/RIAHea7nwS,57,East Little York / Homestead,0830,01,,0
DjRed_ScrewedUp,#Repost justyaboyreece ・・・ #Repost hurricaneharveyreposts (get_repost) ・・・ #prayforhouston… https://t.co/cU8hyMcUdR,57,East Little York / Homestead,0830,01,,0
DjRed_ScrewedUp,"#Repost @kirkobangz ・・・ @ Houston, Texas https://t.co/kCWVLmvyKx",57,East Little York / Homestead,0830,01,,0
DjRed_ScrewedUp,"#Repost @MrSockGame ・・・ @ Houston, Texas https://t.co/WNG44XsfjK",57,East Little York / Homestead,0830,01,,0
DjRed_ScrewedUp,"#Repost bossyinctina ・・・ @ Houston, Texas https://t.co/V2ZLeOdx4U",30,Downtown,0830,01,,0
amglara,"If you can help, please do so. My email is amglara@gmail.com if you… https://t.co/jqZL1WHJ74",1,Fourth Ward,0830,01,help,1
FalaNation,"Long Live PAC #realtalk #harvey @ Copperbrook, Houston, Texas https://t.co/4HDsvTvSrq",1,Fourth Ward,0830,01,,0
TotalTrafficHOU,Closed due to flooding. in #NorthSide on I-45 N Fwy Inbound between The 610 N Lp and I-10 #traffic https://t.co/vuUN2yElDh,1,Fourth Ward,0830,01,,0
