TyBeezy11,We running the KLUB ! #PlayMakerz @ Foxxy's Bikini Sports Bar and Grill https://t.co/ZRnsg0pnbC,42,Westbury,0825,00,,0
GUUDBELLYY,SALUTATIONS PEEPS 👋🏽  This post is SUPER delayed. AND we'd like to notify everyone that tomorrow… https://t.co/7YPm7FnhXh,30,Downtown,0825,00,,0
JohnnyNewsroom,"Astros squander rally in 9th, fall to Nationals in 11 innings https://t.co/O1GfjvTibL https://t.co/s3b7cVlqPE",37,Greater Heights,0825,00,,0
El_Colombiano24,Soccer before the Storm what are you doing on your Hurricane #Harvey… https://t.co/ldvSTWuTtO,30,Downtown,0825,00,,0
J_shadesyou,Don't forget J FIX SHADES TOO!! J SHADES FIX YOUR SHADES✨💕IF PURCHASED FROM #JSHADES ITS FOR… https://t.co/66VgxrgrLv,21,Greenway / Upper Kirby Area,0825,00,,0
TradewellFellow,#eypae #houstonarchitecture @ The Tradewell Fellowship https://t.co/T3ko9I9IhU,22,Mid West,0825,00,,0
idreaminstereo,its.ogkidd @idreaminstereo PROJECT BITCH @barronstudios @ Barron Studios https://t.co/P3Fhqb3LWr,5,Eldridge / West Oaks,0825,00,,0
GDKN,"Can you recommend anyone for this #job in #Houston, TX? https://t.co/2jquNxp906 #NowHiring #GetHired #Clerical… https://t.co/i7YS1v1cKN",19,Meadowbrook / Allendale,0825,00,,0
guttulus,My fifth foster dog getting ready for the hurricane.  She's a cutie. #dog #dogs #l4l #ff… https://t.co/ej2dBfCayb,22,Mid West,0825,00,dog,1
MelloTheBarber,"💎💎💎💎 Checkin In, Y'all think I need a DNA test????? ©ItsJustMello  #barbershopconnect #barber… https://t.co/w2WuUxyi1f",22,Mid West,0825,00,need,1
GRIDIRONFILMZ,🎥 by me @GradeARon #aka @gridironfilmz  BOOK ME FOR YOUR NEXT VIDEO SHOOT! ☎️832-356-4137… https://t.co/EKhgw1B0Zi,30,Downtown,0825,00,,0
