903120294885421056,To get you through the storm #harvey #houston #htown hold it down💪 djrakuttz@youtube.com @ Third… https://t.co/4QZVFujJPl,get storm hold djrakuttzyoutubecom,Thu Aug 31 00:00:32 CDT 2017,"29.73,-95.36",RasoolDMessenga,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",80,Greater Third Ward,,0
903120988690415616,I'm never petty but I have time today😡what type of court jester 🤹‍♂️ post about his donation… https://t.co/ajsip4Xi6z,never petty time todaywhat type court jester post donation,Thu Aug 31 00:03:17 CDT 2017,"29.7629,-95.3832",KimSoMajor,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",25,Memorial,donation,1
903121589230698496,Join the Kraton Corporation team! See our latest #job opening here: https://t.co/B1zxr7IMq7 #Kraton #polymers #chemicaljobs #BusinessMgmt,join kraton corporation team see latest opening,Thu Aug 31 00:05:40 CDT 2017,"29.7604267,-95.3698028",KratonCareers,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",1,Fourth Ward,,0
903121963757039616,#Houston #Relief #houstonstrong with my peeps @djredsoda @FoxHollow   #Repost @djredsoda @ Fox… https://t.co/0JQCC4qAgd,peep djredsoda foxhollow djredsoda,Thu Aug 31 00:07:10 CDT 2017,"29.77173,-95.40814",party4free,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",1,Fourth Ward,,0
903122485566197760,CNN's Anderson Cooper reporting live at my shopping center @J_Phillips_. No power and water is… https://t.co/1yTsFKBUff,cnns anderson cooper reporting live shopping center jphillips power water,Thu Aug 31 00:09:14 CDT 2017,"29.77028887,-95.59041552",J_Phillips_,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",30,Downtown,water power,2
903122617233620992,hoUSton        #hoUSton #htown #hurricaneharvey  #hurricane #texasstrong #imessage #stickers… https://t.co/AJjFnkaI0X,houston,Thu Aug 31 00:09:45 CDT 2017,"29.7629,-95.3832",htownstickers,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",25,Memorial,,0
903122805985869824,There is a #gofundme page set up for this sweet baby girl by @michaelskolnik (amazing civil… https://t.co/t8E7GmYMhs,page set sweet baby girl michaelskolnik amaze civil,Thu Aug 31 00:10:30 CDT 2017,"29.7629,-95.3832",vickikeough,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",6,Washington Avenue Coalition / Memorial Park,,0
903123277845073921,Closed due to high water in #Harris on S Sam Houston Pkwy Frontage Rd EB between Hwy 35 and Blackhawk Blvd #traffic https://t.co/vuUN2yElDh,close due high water sam houston pkwy frontage hwy blackhawk blvd,Thu Aug 31 00:12:23 CDT 2017,"29.60018,-95.28638",TotalTrafficHOU,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",80,Greater Third Ward,water,1
903123645819703296,Get our royal blue/gold MUSICIAN FIRST DRUMMER SECOND at https://t.co/3L5Lnx5NCD  #drummers #music… https://t.co/O2hvZSnXmf,get royal bluegold musician first drummer second,Thu Aug 31 00:13:51 CDT 2017,"29.7629,-95.3832",FLAMGearCo,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",25,Memorial,,0
903125811997409280,S/O to the big homie @ShopFinesseGVNG for donating/ giving out 50 to 75 Shirts Sizes Small - 2x… https://t.co/kcUC1xPU0v,big homie shopfinessegvng donate giving shirt size small,Thu Aug 31 00:22:27 CDT 2017,"29.7629,-95.3832",JanuarysVeriOwn,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",1,Fourth Ward,donate,1
903126116633890816,#OperationSaveLives. 🙏🏽 It's really hard to put into words seeing this disaster up close. I only… https://t.co/BwAwMYJ9BU,really hard put words seeing disaster close,Thu Aug 31 00:23:40 CDT 2017,"29.7629,-95.3832",J_Phillips_,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",1,Fourth Ward,,0
903126927766052864,"WE ARE TEXAS STRONG  THANK YOU to all our customers, vendors, friends and family members that… https://t.co/v78zQzew0R",texas strong thank customer vendor friend family member,Thu Aug 31 00:26:53 CDT 2017,"29.799106,-95.3677003",EcareMedical,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",1,Fourth Ward,family,1
903127664881434624,"Text HARVEY to 90999, the American Red Cross to donate $10 for… https://t.co/57mJsUCtS5",text harvey american red cross donate,Thu Aug 31 00:29:49 CDT 2017,"29.7629,-95.3832",amichaelevansjr,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",1,Fourth Ward,donate text,2
903128205560655873,Back to the daily Grind....GOOD MORNING PPL!!! #Workflow @ Grocers… https://t.co/7HZHyBGIbt,back daily grindgood morning ppl,Thu Aug 31 00:31:58 CDT 2017,"29.70324247,-95.378916",THAJRL325,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",4,Greater Hobby Area,,0
903129183185887232,"Can you recommend anyone for this #job in #Houston, TX? https://t.co/Qj5UhTekxp #MD #Physician #Veterans #Hiring",recommend anyone,Thu Aug 31 00:35:51 CDT 2017,"29.7604267,-95.3698028",MedExpressJobs,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",23,Midtown,,0
903130217220374529,"@Regrann from @eat_bike_run -  Ok my running friends, this one is for y'all.  Let's come… https://t.co/C7HotxgHMO",regrann eatbikerun running friend one yall let come,Thu Aug 31 00:39:57 CDT 2017,"29.7629,-95.3832",RacheleRobFit,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",1,Fourth Ward,,0
903131569421860864,I will always support and rep my city ❤️🤘🏽. Together and strong we will stand; fore after every… https://t.co/Ag6tXNP3xZ,always support rep city together strong stand fore every,Thu Aug 31 00:45:20 CDT 2017,"29.7629,-95.3832",XOXOBesamor,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",1,Fourth Ward,support,1
