902395802483531776,High water affecting all main lanes in #Downtown on I-10 Katy Fwy WB at T.C. Jester #traffic https://t.co/vuUN2ymKeH,high water affect main lane katy fwy jester,Tue Aug 29 00:01:39 CDT 2017,"29.77729,-95.41817",TotalTrafficHOU,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",6,Washington Avenue Coalition / Memorial Park,water,1
902395824725995520,Could not say it better myself @ Houston Energy Corridor https://t.co/BSwxPil5e0,could say better energy corridor,Tue Aug 29 00:01:44 CDT 2017,"29.77,-95.63",Patricio_Kelley,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",33,Golfcrest / Bellfort / Reveille,,0
902395921929003008,"#USGS08068780 - Little Cypress Ck nr Cypress, TX Height: 159.46ft ▼ (156.5ft) Flow: 3500cfs https://t.co/FaouYzVbEt",little cypress cypress height flow,Tue Aug 29 00:02:08 CDT 2017,"30.01605437,-95.6974463",USGS_TexasFlood,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",5,Eldridge / West Oaks,,0
902395986584236032,"🙏🏻🙏🏻🙏🏻 @ Houston, Texas https://t.co/5DS29FsiP7",texas,Tue Aug 29 00:02:23 CDT 2017,"29.7629,-95.3832",pay2playrecords,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",59,Fairbanks / Northwest Crossing,,0
902396258085634048,"Untitled. AbstraMetrics, DailySketchChallenge - 073. #dailysketchchallenge #dailysketch… https://t.co/38HcfwKO4r",untitled abstrametrics dailysketchchallenge,Tue Aug 29 00:03:28 CDT 2017,"29.7629,-95.3832",iamjamesewalker,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",1,Fourth Ward,,0
902396568501751809,We saved this pregnant woman that is in labor and her water broke.  Thank you Jesus! @ Hidden… https://t.co/vmUGzQbAIo,save pregnant woman labor water break thank jesus,Tue Aug 29 00:04:42 CDT 2017,"29.86486804,-95.20446965",LivinProof3,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",1,Fourth Ward,water,1
902398196432953345,@13lvlylvndrldy #13lovelylavenderlady   #HurricaneHarvey #MidwivesRock  #GHMA #Houston #Texas @… https://t.co/dT8nJE1aZ8,lvlylvndrldy,Tue Aug 29 00:11:10 CDT 2017,"29.73,-95.36",13lvlylvndrldy,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",1,Fourth Ward,,0
902398245871259652,"Just posted a photo @ Houston, Texas https://t.co/MtdbzqDQaO",post photo texas,Tue Aug 29 00:11:22 CDT 2017,"29.7629,-95.3832",Nineaux_,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",1,Fourth Ward,,0
902399326407688192,🙏🏾🙏🏾🙏🏾🙏🏾  #Repost @JJWatt (get_repost) ・・・ $1 MILLION!!! New Goal: $1.5 Million.… https://t.co/IkP3RYbqtt,jjwatt getrepost million new goal million,Tue Aug 29 00:15:39 CDT 2017,"29.7629,-95.3832",MrWiredUpOhBoy,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",78,University Place,,0
902399558797418496,There comes at time when words can't describe. Thoughts and prayers are not enough. An immediate… https://t.co/rBA2dRt1XY,come time words cant describe thought prayer enough immediate,Tue Aug 29 00:16:35 CDT 2017,"29.7629,-95.3832",DSSPTCN,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",52,Medical Center Area,,0
902399725713842176,#hurricaneharvey #WhiteOakBayou @ White Oak Bayou Trails https://t.co/LpvxVq1CgI,oak bayou trail,Tue Aug 29 00:17:15 CDT 2017,"29.80401549,-95.42914483",NASAfemme,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",37,Greater Heights,trail,1
902400106875506688,Thank you!#houstonproud  #DigItHTown @ In My Zone https://t.co/SomJkkzmGX,thank zone,Tue Aug 29 00:18:45 CDT 2017,"29.64188885,-95.5311781",MoFromPromo,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",80,Greater Third Ward,,0
902400637119455233,"#take #pics & #expose #price #gouging #plz #share harveyrescuepage @ Houston, Texas https://t.co/3KNzjTrcjD",harveyrescuepage texas,Tue Aug 29 00:20:52 CDT 2017,"29.7629,-95.3832",djbuddhaTX,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",1,Fourth Ward,,0
902401158886633472,"#baby in #need of #help & #formula 🙏🏽🚨🍼 @ Houston, Texas https://t.co/lxc6pFDbXE",texas,Tue Aug 29 00:22:56 CDT 2017,"29.7629,-95.3832",djbuddhaTX,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",1,Fourth Ward,,0
902401537187745793,NICKI MINAJ,nicki minaj,Tue Aug 29 00:24:26 CDT 2017,"29.78221355,-95.74716678",PLZSAYDAPRINCE,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",2,Greater Uptown,,0
