902033141711372288,"#USGS08068780 - Little Cypress Ck nr Cypress, TX Height: 161.03ft ▼ (156.5ft) Flow: 8220cfs https://t.co/zLmelbPuBL",Mon Aug 28 00:00:34 CDT 2017,"30.01605437,-95.6974463",USGS_TexasFlood,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",-1,null
902033187009736704,"Lost some things but overall safe! 🙏🙏🙏 #HurricaneHarvey #Day3 @ Northside - Northline, Houston https://t.co/OQO5fvWnwZ",Mon Aug 28 00:00:45 CDT 2017,"29.85399871,-95.38207075",JTrillDaHitman,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",55,Northside/Northline
902033218748112896,$50 gets you thousands of dollars in #luxury Clothing right now as we try to save as much as… https://t.co/lqMZUifvJg,Mon Aug 28 00:00:52 CDT 2017,"29.97034,-95.55706",DJMaliceon,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",-1,null
902033446817730564,Ima post this everyday 💯🏚️✅ @ University of Houston https://t.co/ik7Qm94jgf,Mon Aug 28 00:01:47 CDT 2017,"29.7188233,-95.3393318",TyBeezy11,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",-1,null
902033585124888576,Some of mo city under mandatory evacuation,Mon Aug 28 00:02:20 CDT 2017,"29.63963964,-95.50563573",_ClutchCity,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",80,Greater Third Ward
902034094715834372,"We're #hiring! Read about our latest #job opening here: Technical Leader, Oil Field Technology - https://t.co/kuNxz65Q8h #Kraton #polymers",Mon Aug 28 00:04:21 CDT 2017,"29.7604267,-95.3698028",KratonCareers,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",-1,null
902034166367354880,We are one of the most #resilient cities in #America and we will show that we come together and… https://t.co/xeNLZ8Rcwn,Mon Aug 28 00:04:38 CDT 2017,"29.7629,-95.3832",ShotByWiz,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",66,Brays Oaks
902034329483825152,What should I name this??🤔🤔   #fluidpainting #artoftheday #fluidacrylic #worldofartists… https://t.co/POCIItdBH4,Mon Aug 28 00:05:17 CDT 2017,"29.7629,-95.3832",Mel_Frierson,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",-1,null
902034388556423169,"djrakuttz@youtube.com #pressplay @ Third Ward, Houston https://t.co/4QZVFujJPl",Mon Aug 28 00:05:31 CDT 2017,"29.73,-95.36",RasoolDMessenga,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",30,Downtown
902034400430448641,"#USGS08075900 - Greens Bayou nr US Hwy 75 nr Houston, TX Height: 85.34ft ▲ (84.8ft) Flow: 11400cfs https://t.co/nI6DI5mxY3",Mon Aug 28 00:05:34 CDT 2017,"29.95688886,-95.4179936",USGS_TexasFlood,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",-1,null
902034527366684672,Hurricane Harvey will be a very devastating disaster. I hope… https://t.co/vrGcd5h6x4,Mon Aug 28 00:06:04 CDT 2017,"29.7629,-95.3832",rita_benniss,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",1,Fourth Ward
902034660104040448,"Just posted a photo @ Meyerland, Houston https://t.co/T4xUz97fn6",Mon Aug 28 00:06:36 CDT 2017,"29.685,-95.4674",panthersquad,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",-1,null
902034718618656768,"@paulwallbaby #thankyou @ Houston, Texas https://t.co/ivkiB4kXNd",Mon Aug 28 00:06:50 CDT 2017,"29.7629,-95.3832",djbuddhaTX,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",1,Fourth Ward
902035006775853056,Just posted a photo @ La Casa Del Dannyboy https://t.co/eGbGQbPctM,Mon Aug 28 00:07:59 CDT 2017,"29.6795207,-95.2314663",Dannyboy1112,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",-1,null
