903120294885421056,To get you through the storm #harvey #houston #htown hold it down💪 djrakuttz@youtube.com @ Third… https://t.co/4QZVFujJPl,Thu Aug 31 00:00:32 CDT 2017,"29.73,-95.36",RasoolDMessenga,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",80,Greater Third Ward
903120726575677440,"The key line in this interview regarding is generosity the of a neighbor: ""This kind of thing… https://t.co/mLNn4XhrDV",Thu Aug 31 00:02:15 CDT 2017,"29.7811,-95.5459",thejohnstephens,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",-1,null
903120988690415616,I'm never petty but I have time today😡what type of court jester 🤹‍♂️ post about his donation… https://t.co/ajsip4Xi6z,Thu Aug 31 00:03:17 CDT 2017,"29.7629,-95.3832",KimSoMajor,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",25,Memorial
903121039827271680,"😲😂😂😂😂😂 #fucktrump #fuckboy @ Houston, Texas https://t.co/6J555YGmuS",Thu Aug 31 00:03:29 CDT 2017,"29.7629,-95.3832",RasoolDMessenga,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",-1,null
903121589230698496,Join the Kraton Corporation team! See our latest #job opening here: https://t.co/B1zxr7IMq7 #Kraton #polymers #chemicaljobs #BusinessMgmt,Thu Aug 31 00:05:40 CDT 2017,"29.7604267,-95.3698028",KratonCareers,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",1,Fourth Ward
903121910996680704,CNN's Anderson Cooper reporting live at my shopping center… https://t.co/4cxJvtEaij,Thu Aug 31 00:06:57 CDT 2017,"29.77028887,-95.59041552",J_Phillips_,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",-1,null
903121963757039616,#Houston #Relief #houstonstrong with my peeps @djredsoda @FoxHollow   #Repost @djredsoda @ Fox… https://t.co/0JQCC4qAgd,Thu Aug 31 00:07:10 CDT 2017,"29.77173,-95.40814",party4free,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",1,Fourth Ward
903122134540574720,All your recording needs in one location 🎹💻🎤🎧📽 Dj RaKuttz@youtube.com #ultimatemixs @ The Lion's… https://t.co/0UGsexmY1Z,Thu Aug 31 00:07:50 CDT 2017,"29.73645,-95.35653",RasoolDMessenga,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",-1,null
903122485566197760,CNN's Anderson Cooper reporting live at my shopping center @J_Phillips_. No power and water is… https://t.co/1yTsFKBUff,Thu Aug 31 00:09:14 CDT 2017,"29.77028887,-95.59041552",J_Phillips_,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",30,Downtown
903122528201306112,🤷🏾‍♂️just saying; if you're gonna get it right back; why not; and get tax'd hella less for the… https://t.co/Dm7SCP6crd,Thu Aug 31 00:09:24 CDT 2017,"29.7629,-95.3832",SwaggaJaggaJ,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",-1,null
903122617233620992,hoUSton        #hoUSton #htown #hurricaneharvey  #hurricane #texasstrong #imessage #stickers… https://t.co/AJjFnkaI0X,Thu Aug 31 00:09:45 CDT 2017,"29.7629,-95.3832",htownstickers,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",25,Memorial
903122749949743104,"Hey guys and girls! So if you haven't been keeping up with things, Houston was hit with some… https://t.co/PoZlmsgNLY",Thu Aug 31 00:10:17 CDT 2017,"29.7629,-95.3832",bentonecole,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",-1,null
